seed,optimal_gain,true_greedy_ratio,independence_greedy_ratio,singleton_ratio,random_ratio,true_greedy_domains,independence_greedy_domains,optimal_domains,true_greedy_subset,independence_greedy_subset,optimal_subset
0,0.4089014826887359,1.0,0.9514547334139982,0.9514547334139982,0.958117018737157,3,2,3,"(1, 5, 8, 10)","(0, 1, 5, 7)","(1, 5, 8, 10)"
1,0.42277087048492773,1.0,0.9668630354673731,1.0,0.973821684549697,3,3,3,"(2, 5, 8, 11)","(2, 4, 5, 11)","(2, 5, 8, 11)"
2,0.40117670587857396,1.0,0.9536080512474161,0.9536080512474161,0.9669243875235031,3,2,3,"(1, 3, 5, 10)","(1, 3, 9, 10)","(1, 3, 5, 10)"
3,0.40189347852780855,1.0,1.0,0.9496118839026644,0.9540828219559853,3,3,3,"(2, 4, 6, 10)","(2, 4, 6, 10)","(2, 4, 6, 10)"
4,0.33239865978130645,1.0,0.8682936060236457,0.8675603747807223,0.9826031079724826,3,2,3,"(0, 1, 4, 9)","(1, 8, 9, 10)","(0, 1, 4, 9)"
5,0.39571294926087547,1.0,0.9537463762050353,0.8637123784712565,0.9673655340906223,3,2,3,"(3, 5, 6, 9)","(0, 3, 4, 5)","(3, 5, 6, 9)"
6,0.369894369609096,1.0,0.8659227503031841,0.8659227503031841,0.9666693175791489,3,2,3,"(1, 4, 6, 9)","(1, 2, 3, 4)","(1, 4, 6, 9)"
7,0.4050263714437081,1.0,0.881567858078825,0.881567858078825,0.9669496732120929,3,2,3,"(1, 3, 4, 11)","(4, 5, 6, 11)","(1, 3, 4, 11)"
8,0.4362977651228955,1.0,0.647488036590986,0.647488036590986,0.9554459407434875,3,1,3,"(3, 6, 9, 11)","(0, 1, 2, 3)","(3, 6, 9, 11)"
9,0.4367874374028208,1.0,0.9563002233159391,0.8672883698824105,0.9727564002932602,3,2,3,"(0, 3, 5, 9)","(0, 3, 9, 10)","(0, 3, 5, 9)"
10,0.3538212254886588,1.0,0.8699032901090435,0.869899757355705,0.9669093912038857,3,2,3,"(0, 3, 7, 11)","(3, 8, 10, 11)","(0, 3, 7, 11)"
11,0.4338770478774083,1.0,0.8758331995444275,0.8758331995444275,0.9770996915039296,3,2,3,"(3, 7, 9, 11)","(0, 1, 3, 11)","(3, 7, 9, 11)"
12,0.38255236543990034,1.0,1.0,1.0,0.9712883885625491,3,3,3,"(0, 3, 6, 10)","(0, 3, 6, 10)","(0, 3, 6, 10)"
13,0.3508022077531222,1.0,0.963643930053002,0.963643930053002,0.9621322197701329,3,3,3,"(2, 3, 7, 8)","(3, 7, 8, 9)","(2, 3, 7, 8)"
14,0.40408104148334145,1.0,0.6384921577642831,0.6384921577642831,0.9607401375100075,3,1,3,"(1, 4, 6, 9)","(0, 1, 2, 3)","(1, 4, 6, 9)"
15,0.37888057130910846,1.0,0.8792163711604788,0.8792163711604788,0.9556241067707475,3,2,3,"(3, 6, 7, 9)","(0, 2, 3, 7)","(3, 6, 7, 9)"
16,0.3269945175306582,1.0,0.9999874029659854,0.9999874029659854,0.9445949611424922,3,3,3,"(0, 5, 7, 10)","(0, 7, 9, 10)","(0, 5, 7, 10)"
17,0.3739254564649914,1.0,1.0,0.9892293317396252,0.9639080610147581,3,3,3,"(0, 7, 8, 9)","(0, 7, 8, 9)","(0, 7, 8, 9)"
18,0.35007523158232723,1.0,0.6570064864807492,0.6570064864807492,0.9711764589917052,3,1,3,"(0, 4, 8, 9)","(4, 5, 6, 7)","(0, 4, 8, 9)"
19,0.35970500464708677,1.0,0.952183083204455,0.8633650090871745,0.9605166986621201,3,2,3,"(1, 4, 5, 9)","(4, 5, 8, 9)","(1, 4, 5, 9)"
20,0.3937924081361151,1.0,0.863651351940554,0.6326090401760586,0.9636595145069097,3,2,3,"(2, 6, 7, 9)","(7, 8, 9, 10)","(2, 6, 7, 9)"
21,0.40862858214257375,1.0,0.8701068132370462,0.6464625624528564,0.9738595850421069,3,2,3,"(2, 6, 7, 11)","(7, 8, 10, 11)","(2, 6, 7, 11)"
