seed,optimal_gain,true_greedy_ratio,independence_greedy_ratio,singleton_ratio,random_ratio,true_greedy_domains,independence_greedy_domains,optimal_domains,true_greedy_subset,independence_greedy_subset,optimal_subset
22,0.4306170077466379,0.9998684693319788,0.868861207669154,0.868861207669154,0.9811901698219905,3,2,3,"(3, 4, 8, 9)","(3, 4, 5, 6)","(3, 6, 8, 9)"
23,0.4375788032402373,1.0,0.6346754977203661,0.6346754977203661,0.9623123400131067,3,1,3,"(0, 4, 8, 10)","(0, 1, 2, 3)","(0, 4, 8, 10)"
24,0.3643200292426819,1.0,0.6366280112661401,0.6366280112661401,0.9743507238200423,3,1,3,"(2, 3, 6, 9)","(8, 9, 10, 11)","(2, 3, 6, 9)"
25,0.4187004581418333,1.0,0.8579465906110865,0.8579465906110865,0.9720770230376957,3,2,3,"(0, 3, 7, 10)","(0, 4, 5, 7)","(0, 3, 7, 10)"
26,0.4346697677908473,1.0,0.6471796464981403,0.6471796464981403,0.9667800076076807,3,1,3,"(3, 5, 7, 11)","(0, 1, 2, 3)","(3, 5, 7, 11)"
27,0.3611938767169285,1.0,0.8759247241960065,0.8759247241960065,0.9522750416835061,3,2,3,"(2, 3, 7, 10)","(2, 5, 6, 7)","(2, 3, 7, 10)"
28,0.4111411028267657,1.0,0.9683823624711766,0.9684100300063664,0.9629913606450513,3,3,3,"(3, 7, 10, 11)","(3, 5, 7, 10)","(3, 7, 10, 11)"
29,0.3732542175755114,1.0,0.6519413791497416,0.6519413791497416,0.9728121543696824,3,1,3,"(2, 5, 8, 11)","(0, 1, 2, 3)","(2, 5, 8, 11)"
30,0.37300148872735855,1.0,0.6608370799727904,0.6608370799727904,0.9676591537910539,3,1,3,"(2, 5, 6, 8)","(8, 9, 10, 11)","(2, 5, 6, 8)"
31,0.34066075296352144,0.9995492652639639,0.8859011897385641,0.6603665664540947,0.9779075794056146,3,2,3,"(0, 6, 9, 11)","(5, 6, 7, 9)","(1, 6, 9, 11)"
32,0.4244567859256741,1.0,1.0,1.0,0.9544950613736594,3,3,3,"(1, 3, 7, 11)","(1, 3, 7, 11)","(1, 3, 7, 11)"
33,0.4668026870039891,1.0,1.0,1.0,0.9477553752392603,3,3,3,"(1, 4, 7, 11)","(1, 4, 7, 11)","(1, 4, 7, 11)"
34,0.32634756457659114,1.0,0.85555416944092,0.6172254401386985,0.9728794623047193,3,2,3,"(3, 4, 6, 8)","(6, 8, 10, 11)","(3, 4, 6, 8)"
35,0.4800488986645634,1.0,0.6591638612168158,0.6591638612168158,0.9679325101934477,3,1,3,"(0, 5, 7, 10)","(8, 9, 10, 11)","(0, 5, 7, 10)"
36,0.4125989222991425,1.0,0.6419148316623657,0.6419148316623657,0.9701730063373826,3,1,3,"(1, 5, 9, 10)","(0, 1, 2, 3)","(1, 5, 9, 10)"
37,0.4219864758921742,1.0,0.6172002707201008,0.6172002707201008,0.9666049221078062,3,1,3,"(2, 3, 7, 8)","(4, 5, 6, 7)","(2, 3, 7, 8)"
38,0.4123591368515534,1.0,0.9567298801211225,0.9567298801211225,0.9781468728489289,3,2,3,"(1, 5, 8, 10)","(1, 2, 8, 10)","(1, 5, 8, 10)"
39,0.4188784322751389,1.0,0.8559970798888106,0.6184150207374699,0.9710520000303121,3,2,3,"(1, 4, 9, 10)","(0, 1, 3, 10)","(1, 4, 9, 10)"
40,0.45439273061976704,1.0,0.8621506357353115,0.8621506357353115,0.9797420115664902,3,2,3,"(1, 4, 8, 11)","(4, 5, 6, 11)","(1, 4, 8, 11)"
41,0.3361294891327482,0.999933292644393,0.8737220123706145,0.8741655694396632,0.9568450428139506,3,2,3,"(0, 2, 6, 11)","(2, 8, 9, 11)","(0, 2, 7, 11)"
42,0.43003118177421285,1.0,0.8701399530822437,0.6481228024669556,0.9570921201340264,3,2,3,"(2, 4, 9, 11)","(0, 1, 2, 11)","(2, 4, 9, 11)"
43,0.40570160225526924,1.0,0.9989869525150635,0.9522999337987154,0.9651074885330335,3,3,3,"(1, 2, 5, 9)","(2, 6, 9, 10)","(1, 2, 5, 9)"
44,0.3538594484270764,1.0,0.9587382072269571,0.9573690005693759,0.9691327198544045,3,3,3,"(1, 6, 7, 10)","(0, 1, 6, 10)","(1, 6, 7, 10)"
45,0.3578096098967404,1.0,0.8614804352973611,0.6294985976982008,0.9543126628592512,3,2,3,"(1, 6, 10, 11)","(4, 5, 6, 10)","(1, 6, 10, 11)"
46,0.34275295304090814,1.0,0.9524087511005155,0.9524087511005155,0.9602463304772083,3,2,3,"(0, 4, 6, 11)","(4, 6, 10, 11)","(0, 4, 6, 11)"
47,0.38185036166053743,1.0,0.956974303815319,0.8665693316805144,0.9706418944101564,3,2,3,"(1, 6, 8, 11)","(0, 1, 8, 11)","(1, 6, 8, 11)"
48,0.4343382267507663,1.0,0.8637939393569241,0.8637939393569241,0.9603260798800043,3,2,3,"(1, 6, 7, 8)","(0, 1, 3, 7)","(1, 6, 7, 8)"
49,0.40479269965846026,1.0,1.0,1.0,0.9644587534976894,3,3,3,"(1, 5, 8, 9)","(1, 5, 8, 9)","(1, 5, 8, 9)"
50,0.4125255889722355,1.0,1.0,1.0,0.9701388801578381,3,3,3,"(0, 2, 4, 8)","(0, 2, 4, 8)","(0, 2, 4, 8)"
51,0.39489214702697956,1.0,0.8558788205200071,0.8558788205200071,0.9559763963447162,3,2,3,"(2, 3, 6, 9)","(2, 4, 5, 6)","(2, 3, 6, 9)"
52,0.3694489578427051,1.0,0.6609213854552838,0.6609213854552838,0.9681172710467293,3,1,3,"(0, 2, 5, 10)","(4, 5, 6, 7)","(0, 2, 5, 10)"
53,0.3811047236341568,1.0,0.9530694737746925,0.8600018475021557,0.9737139400943361,3,2,3,"(0, 3, 7, 9)","(0, 3, 9, 10)","(0, 3, 7, 9)"
54,0.3288813610623886,1.0,0.6642726103143038,0.6642726103143038,0.9658177454480081,3,1,3,"(0, 2, 5, 10)","(4, 5, 6, 7)","(0, 2, 5, 10)"
55,0.4212322324704249,1.0,0.8754729035468262,0.8754729035468262,0.9729636549714267,3,2,3,"(2, 3, 6, 8)","(2, 8, 9, 10)","(2, 3, 6, 8)"
56,0.38390384395298305,1.0,0.9992925853690819,0.995664355952611,0.9617167254431787,3,3,3,"(0, 4, 6, 11)","(0, 4, 10, 11)","(0, 4, 6, 11)"
57,0.40593231319393713,1.0,0.8683719596093296,0.8683719596093296,0.969327760191007,3,2,3,"(0, 4, 5, 11)","(0, 1, 3, 5)","(0, 4, 5, 11)"
58,0.3572725969019402,1.0,0.8627975243794999,0.8627975243794999,0.9709378356498266,3,2,3,"(2, 4, 5, 10)","(2, 9, 10, 11)","(2, 4, 5, 10)"
59,0.41921939478264564,1.0,0.9567766097117022,0.9567766097117022,0.9658503681998112,3,2,3,"(1, 7, 8, 11)","(1, 3, 8, 11)","(1, 7, 8, 11)"
60,0.40684113186774334,1.0,1.0,1.0,0.9670885594946557,3,3,3,"(1, 5, 6, 9)","(1, 5, 6, 9)","(1, 5, 6, 9)"
61,0.4335986850915626,1.0,0.9596791849771328,0.9596791849771328,0.9635436132673684,3,2,3,"(2, 3, 7, 9)","(2, 3, 6, 7)","(2, 3, 7, 9)"
62,0.4481838262605474,1.0,0.6459968836392662,0.6459968836392662,0.966495543678775,3,1,3,"(0, 7, 8, 9)","(4, 5, 6, 7)","(0, 7, 8, 9)"
63,0.4031541127239038,1.0,0.8622045186096924,0.8622011379927099,0.9804474403531948,3,2,3,"(2, 4, 8, 9)","(2, 4, 5, 7)","(2, 4, 8, 9)"
64,0.36128896350300266,1.0,0.9576231103600392,0.8694479839679198,0.9632560879473481,3,2,3,"(1, 5, 7, 10)","(5, 7, 8, 10)","(1, 5, 7, 10)"
65,0.42068992416735645,1.0,0.9653714511814999,0.9653714511814999,0.9646222223614442,3,3,3,"(1, 4, 5, 10)","(1, 4, 9, 10)","(1, 4, 5, 10)"
66,0.40251757890807993,1.0,0.95488902041161,0.8697468182966545,0.9659192121132322,3,2,3,"(0, 1, 5, 9)","(0, 1, 9, 11)","(0, 1, 5, 9)"
67,0.4216252353789877,1.0,0.8675026584882235,0.8675026584882235,0.9583836884306497,3,2,3,"(1, 7, 8, 9)","(4, 5, 7, 8)","(1, 7, 8, 9)"
68,0.3821569056264571,1.0,0.8539420794996753,0.6179541628086307,0.954018272025246,3,2,3,"(1, 4, 6, 8)","(1, 2, 3, 8)","(1, 4, 6, 8)"
69,0.3498470349034914,0.9999690597247997,0.8616759415145954,0.62697592443827,0.9724862548060533,3,2,3,"(1, 4, 7, 9)","(0, 1, 3, 9)","(0, 4, 7, 9)"
70,0.4560146998981614,1.0,0.8593902649131392,0.8593902649131392,0.9627889310365014,3,2,3,"(3, 7, 8, 11)","(5, 6, 7, 8)","(3, 7, 8, 11)"
71,0.4073498353986842,1.0,0.8576837721518413,0.8576837721518413,0.9693169912641704,3,2,3,"(0, 4, 6, 10)","(0, 9, 10, 11)","(0, 4, 6, 10)"
72,0.39793275407687184,1.0,0.8858287834872903,0.8858287834872903,0.959580146013491,3,2,3,"(1, 4, 6, 11)","(4, 9, 10, 11)","(1, 4, 6, 11)"
73,0.4657520578249162,1.0,0.9840532667991465,0.9840532667991465,0.9673085990025919,3,2,3,"(1, 4, 6, 8)","(4, 5, 6, 8)","(1, 4, 6, 8)"
74,0.33732348437788723,1.0,1.0,1.0,0.959209674893734,3,3,3,"(1, 3, 6, 10)","(1, 3, 6, 10)","(1, 3, 6, 10)"
75,0.3686313998118945,1.0,0.875149468276576,0.875149468276576,0.958663990167057,3,2,3,"(1, 3, 4, 10)","(3, 4, 5, 6)","(1, 3, 4, 10)"
76,0.48013322394038577,1.0,0.9655812947610256,0.8698214293003204,0.9711785161347222,3,3,3,"(1, 3, 7, 10)","(3, 5, 7, 10)","(1, 3, 7, 10)"
77,0.37022842121036653,1.0,0.9857952652604035,0.9857952652604035,0.9521581624264727,3,2,3,"(1, 4, 7, 10)","(4, 6, 7, 10)","(1, 4, 7, 10)"
78,0.35901169938711863,0.9997574844147529,0.6283527831439443,0.6283527831439443,0.9521575935501247,3,1,3,"(0, 6, 7, 11)","(0, 1, 2, 3)","(0, 6, 7, 8)"
79,0.4408439566866269,0.9999116755022212,0.8659793581803547,0.6444336543959535,0.9698493258232792,3,2,3,"(0, 6, 7, 10)","(0, 1, 2, 10)","(2, 6, 7, 10)"
80,0.3781976110241563,1.0,0.9941272486100631,0.9989248173813519,0.9628893132615723,3,2,3,"(3, 6, 7, 10)","(6, 7, 9, 10)","(3, 6, 7, 10)"
81,0.3613893122320869,1.0,0.8579170297465314,0.8573048143648695,0.962080608970997,3,2,3,"(2, 5, 8, 11)","(5, 6, 7, 8)","(2, 5, 8, 11)"
82,0.41590603619210414,1.0,0.8606481828181942,0.6259692403917649,0.9775564154572413,3,2,3,"(2, 6, 8, 11)","(0, 2, 3, 6)","(2, 6, 8, 11)"
83,0.38999603746734307,1.0,0.9606945639490644,0.9606933284644851,0.9671381838916299,3,3,3,"(0, 5, 7, 9)","(0, 7, 9, 10)","(0, 5, 7, 9)"
84,0.43397348260704827,1.0,0.8625824724095419,0.626886731451013,0.9738426967574335,3,2,3,"(2, 7, 8, 11)","(1, 2, 3, 7)","(2, 7, 8, 11)"
85,0.4323645963463188,1.0,1.0,1.0,0.96933091893209,3,3,3,"(3, 6, 7, 10)","(3, 6, 7, 10)","(3, 6, 7, 10)"
86,0.41549228196154175,1.0,0.9675738344850893,0.9675738344850893,0.9687228884965657,3,3,3,"(2, 5, 6, 10)","(1, 2, 5, 10)","(2, 5, 6, 10)"
87,0.44959261298725056,1.0,0.8683235230282488,0.8683235230282488,0.9626193850290286,3,2,3,"(2, 6, 7, 9)","(6, 8, 9, 11)","(2, 6, 7, 9)"
88,0.4587807820531099,1.0,0.67171420869672,0.67171420869672,0.972107320650402,3,1,3,"(3, 4, 8, 9)","(0, 1, 2, 3)","(3, 4, 8, 9)"
89,0.4345236863339043,1.0,0.8711803849782621,0.8711791719707583,0.966034940711439,3,2,3,"(2, 4, 8, 11)","(4, 6, 7, 8)","(2, 4, 8, 11)"
90,0.39687317595566635,1.0,0.6162639268701351,0.6162639268701351,0.9558565007863478,3,1,3,"(0, 1, 6, 10)","(8, 9, 10, 11)","(0, 1, 6, 10)"
91,0.4174853913708927,1.0,0.9650113638553786,0.8699729884841051,0.9689880260177606,3,3,3,"(1, 5, 9, 10)","(1, 3, 5, 9)","(1, 5, 9, 10)"
92,0.4051131040503492,1.0,0.9988317616717157,0.9962437476318134,0.9631467884267925,3,3,3,"(0, 7, 9, 11)","(0, 5, 7, 9)","(0, 7, 9, 11)"
93,0.33871529792730726,1.0,0.9883366968905002,0.9883366968905002,0.9744241829717591,3,2,3,"(1, 7, 9, 10)","(7, 8, 9, 10)","(1, 7, 9, 10)"
94,0.3422849954856063,1.0,0.87143653091469,0.87143653091469,0.9650514544330123,3,2,3,"(3, 5, 8, 9)","(4, 5, 6, 9)","(3, 5, 8, 9)"
95,0.38105073613247786,1.0,0.6553513548600868,0.6553513548600868,0.9726893680383448,3,1,3,"(1, 4, 6, 9)","(8, 9, 10, 11)","(1, 4, 6, 9)"
96,0.3811279867505042,1.0,0.8792939629532162,0.8792939629532162,0.9555716962922989,3,2,3,"(2, 5, 7, 10)","(7, 8, 9, 10)","(2, 5, 7, 10)"
97,0.39050880445919894,1.0,0.6520604797567167,0.6520604797567167,0.9598679509500515,3,1,3,"(1, 5, 6, 11)","(8, 9, 10, 11)","(1, 5, 6, 11)"
98,0.44290464836250854,1.0,0.9496406028025145,0.9496406028025145,0.9687286396623627,3,2,3,"(2, 3, 5, 11)","(2, 3, 5, 7)","(2, 3, 5, 11)"
99,0.4130759770561912,1.0,0.9583362590994423,0.9996293984994498,0.9598808304579414,3,3,3,"(2, 4, 5, 9)","(2, 4, 8, 9)","(2, 4, 5, 9)"
100,0.38144757604490515,1.0,1.0,1.0,0.9764156203863766,3,3,3,"(1, 3, 7, 9)","(1, 3, 7, 9)","(1, 3, 7, 9)"
101,0.3794549086014396,1.0,0.9589651672886238,0.9589651672886238,0.9644577882450674,3,3,3,"(0, 5, 10, 11)","(0, 4, 5, 11)","(0, 5, 10, 11)"
102,0.3862696879925568,1.0,0.8652954157078331,0.6316611628151829,0.9639052315832928,3,2,3,"(3, 5, 9, 11)","(3, 4, 5, 6)","(3, 5, 9, 11)"
103,0.419495131902577,0.9999986879105116,0.8603090662532992,0.6235358079921781,0.9639250619388384,3,2,3,"(3, 5, 7, 10)","(7, 9, 10, 11)","(3, 5, 7, 9)"
104,0.41864093374346123,1.0,1.0,1.0,0.9592364794359879,3,3,3,"(0, 4, 5, 8)","(0, 4, 5, 8)","(0, 4, 5, 8)"
105,0.412830864284496,1.0,0.8647693742787685,0.8647693742787685,0.955198466045465,3,2,3,"(2, 7, 8, 11)","(0, 2, 3, 7)","(2, 7, 8, 11)"
106,0.45446800683260596,0.9999634043408351,0.9576107130832995,0.9576107130832995,0.9682129051682309,3,2,3,"(1, 4, 7, 10)","(4, 7, 10, 11)","(2, 4, 7, 10)"
107,0.4526075545500814,1.0,0.6458966445934861,0.6458966445934861,0.969867331155894,3,1,3,"(1, 3, 5, 9)","(4, 5, 6, 7)","(1, 3, 5, 9)"
108,0.3972776896797141,1.0,0.9578178484889072,0.9578178484889072,0.9609381416787147,3,2,3,"(2, 6, 9, 11)","(0, 2, 9, 11)","(2, 6, 9, 11)"
109,0.32376042071253686,1.0,0.6566778541787,0.6566778541787,0.9694293669059757,3,1,3,"(2, 3, 7, 11)","(8, 9, 10, 11)","(2, 3, 7, 11)"
110,0.44314814509728917,1.0,0.9999330272972198,0.9999330272972198,0.9635616543787963,3,3,3,"(3, 6, 9, 10)","(2, 3, 6, 9)","(3, 6, 9, 10)"
111,0.36561931330242187,1.0,1.0,0.9622065260443403,0.9772000828360969,3,3,3,"(0, 3, 5, 8)","(0, 3, 5, 8)","(0, 3, 5, 8)"
112,0.34422552852221855,1.0,0.9676039449818871,0.9676039449818871,0.9802812342843696,3,3,3,"(2, 5, 8, 11)","(2, 4, 5, 11)","(2, 5, 8, 11)"
113,0.4262867932156601,1.0,0.958246538049619,0.958246538049619,0.970222138382479,3,2,3,"(0, 1, 4, 11)","(0, 1, 10, 11)","(0, 1, 4, 11)"
114,0.411778558723486,1.0,0.6269637072602312,0.6269637072602312,0.9617353318214367,3,1,3,"(0, 6, 8, 11)","(4, 5, 6, 7)","(0, 6, 8, 11)"
115,0.4599279297237531,1.0,0.8678900477854823,0.6404871908596814,0.9700323945669997,3,2,3,"(3, 4, 7, 9)","(0, 2, 3, 4)","(3, 4, 7, 9)"
116,0.4015417282808308,1.0,0.9616098588179547,0.9616098588179547,0.9664459219558558,3,3,3,"(0, 5, 9, 10)","(0, 5, 6, 10)","(0, 5, 9, 10)"
117,0.3692190712008234,0.9996745726784351,0.8565757688643125,0.8565757688643125,0.9650847853302509,3,2,3,"(1, 6, 10, 11)","(4, 5, 6, 10)","(2, 6, 10, 11)"
118,0.3753266060097425,1.0,0.961639636519401,0.961639636519401,0.9425044863406858,3,3,3,"(0, 2, 6, 10)","(2, 4, 6, 10)","(0, 2, 6, 10)"
119,0.41763314275783925,1.0,0.6576806600096363,0.6576806600096363,0.964045465390194,3,1,3,"(1, 7, 10, 11)","(4, 5, 6, 7)","(1, 7, 10, 11)"
120,0.3950056483748775,0.9998584149432058,0.9603747625317929,0.8565911309608875,0.9624738651660286,3,3,3,"(0, 2, 5, 11)","(2, 4, 5, 11)","(0, 2, 4, 11)"
121,0.3839293062089844,0.9999799512544731,0.9999799512544731,0.9999799512544731,0.9682701034789043,3,3,3,"(2, 7, 10, 11)","(2, 7, 10, 11)","(2, 5, 10, 11)"
122,0.34267898436011424,1.0,0.8615499087689787,0.6271642104047009,0.957938202309259,3,2,3,"(0, 4, 5, 11)","(0, 2, 3, 4)","(0, 4, 5, 11)"
123,0.38119857242095084,1.0,0.9683033398334606,0.9683033398334606,0.955602790289093,3,3,3,"(0, 1, 6, 11)","(0, 4, 6, 11)","(0, 1, 6, 11)"
124,0.42674633854943955,1.0,0.9648085332925548,0.9648085332925548,0.9590957228389245,3,3,3,"(1, 5, 7, 11)","(1, 5, 10, 11)","(1, 5, 7, 11)"
125,0.41226086618196955,1.0,0.9966755283669061,0.9966755283669061,0.9644765318883716,3,3,3,"(1, 4, 5, 11)","(1, 2, 5, 11)","(1, 4, 5, 11)"
126,0.4905797563497535,1.0,0.9667118106570145,0.9667118106570145,0.9671986628115828,3,3,3,"(1, 5, 6, 8)","(1, 6, 8, 10)","(1, 5, 6, 8)"
127,0.41517574330959894,0.9999759244746264,0.9963366779863642,0.9963366779863642,0.9714855042757251,3,2,3,"(1, 2, 7, 10)","(1, 2, 8, 10)","(1, 2, 6, 10)"
128,0.3969777615390531,0.9999417838601576,0.6527881886968414,0.6527881886968414,0.9603842825742881,3,1,3,"(1, 6, 10, 11)","(4, 5, 6, 7)","(2, 5, 10, 11)"
129,0.3534918186563943,1.0,0.99587459570233,0.99587459570233,0.9556781644497719,3,2,3,"(1, 2, 5, 10)","(1, 2, 5, 7)","(1, 2, 5, 10)"
130,0.4048534769898852,1.0,0.6351086034842122,0.6351086034842122,0.9757594191786794,3,1,3,"(1, 4, 9, 10)","(4, 5, 6, 7)","(1, 4, 9, 10)"
131,0.39807335680148315,0.999855409302455,0.8678469612326385,0.8678515978411951,0.9709193919514423,3,2,3,"(3, 4, 9, 10)","(0, 2, 3, 9)","(0, 4, 9, 10)"
132,0.33144257657742204,1.0,0.6204914617637846,0.6204914617637846,0.9661599816093525,3,1,3,"(2, 3, 4, 9)","(4, 5, 6, 7)","(2, 3, 4, 9)"
133,0.40712883302026603,0.9994886291697166,0.9563911197569365,0.9563911197569365,0.9700385630052812,3,2,3,"(0, 5, 6, 11)","(0, 3, 5, 6)","(0, 5, 6, 9)"
134,0.4443649483446686,1.0,0.9886685825998,0.8537717786106607,0.9679237719650897,3,2,3,"(1, 7, 8, 10)","(7, 8, 10, 11)","(1, 7, 8, 10)"
135,0.4373290960130484,1.0,0.9568109956204766,0.8700761151210935,0.966831354940164,3,2,3,"(3, 6, 7, 9)","(0, 3, 6, 7)","(3, 6, 7, 9)"
136,0.4182382118077383,1.0,0.8728761264176244,0.8728761264176244,0.9534436106840689,3,2,3,"(2, 4, 6, 11)","(0, 1, 2, 4)","(2, 4, 6, 11)"
137,0.4126012045961179,1.0,0.8718695459465825,0.8718695459465825,0.9617532561966188,3,2,3,"(2, 6, 7, 8)","(0, 2, 3, 7)","(2, 6, 7, 8)"
138,0.45253217238848126,1.0,0.9957745260554001,0.9957745260554001,0.9681386212954407,3,2,3,"(0, 2, 7, 8)","(0, 2, 5, 7)","(0, 2, 7, 8)"
139,0.41613488312867675,1.0,0.6259981459538981,0.6259981459538981,0.967026856271118,3,1,3,"(3, 5, 7, 11)","(0, 1, 2, 3)","(3, 5, 7, 11)"
140,0.46987790076543523,1.0,0.9599553016791478,0.8577893146256326,0.9661780519491056,3,3,3,"(2, 6, 7, 8)","(0, 2, 6, 8)","(2, 6, 7, 8)"
141,0.3983172841687512,1.0,0.6550564050982972,0.6550564050982972,0.9652655529317472,3,1,3,"(0, 1, 5, 11)","(8, 9, 10, 11)","(0, 1, 5, 11)"
142,0.38069585239195847,1.0,0.8723576886457078,0.8723576886457078,0.963203555876935,3,2,3,"(0, 1, 4, 11)","(0, 4, 6, 7)","(0, 1, 4, 11)"
143,0.39594719835017356,0.9998098671093062,0.6295123820757467,0.6295123820757467,0.9764827769361982,3,1,3,"(0, 5, 7, 9)","(0, 1, 2, 3)","(1, 5, 7, 9)"
144,0.3970207986887058,1.0,0.8604347653867781,0.8604347653867781,0.9675534648276766,3,2,3,"(0, 4, 7, 10)","(0, 2, 3, 10)","(0, 4, 7, 10)"
145,0.43247716851299955,1.0,0.9992371941598202,1.0,0.9587590283541226,3,3,3,"(0, 2, 6, 9)","(0, 4, 6, 9)","(0, 2, 6, 9)"
146,0.44489333367823836,1.0,0.8690787412410305,0.8690787412410305,0.9622772120525895,3,2,3,"(0, 4, 7, 8)","(0, 1, 3, 7)","(0, 4, 7, 8)"
147,0.4657233892067319,1.0,0.9577411812321002,0.9903466481185587,0.9637788546971409,3,2,3,"(3, 5, 7, 10)","(1, 3, 5, 7)","(3, 5, 7, 10)"
148,0.37912888751797236,1.0,0.6536853597015665,0.6536853597015665,0.974957090588714,3,1,3,"(0, 6, 9, 11)","(4, 5, 6, 7)","(0, 6, 9, 11)"
149,0.40351753749153885,1.0,0.8487864939934704,0.6166082296332304,0.9719020341844838,3,2,3,"(3, 5, 9, 11)","(0, 1, 3, 11)","(3, 5, 9, 11)"
150,0.3594596709687205,1.0,0.8657470046327435,0.8657470046327435,0.9665892711229371,3,2,3,"(3, 4, 7, 10)","(0, 1, 3, 7)","(3, 4, 7, 10)"
151,0.37894759590690325,1.0,0.6462219563944587,0.6462219563944587,0.9709141693844222,3,1,3,"(1, 6, 7, 10)","(0, 1, 2, 3)","(1, 6, 7, 10)"
152,0.35504598947070376,1.0,0.9848053772878782,0.9846140733460927,0.9654028720738022,3,2,3,"(0, 5, 7, 10)","(5, 6, 7, 9)","(0, 5, 7, 10)"
153,0.3718022262462144,0.9998211795730799,0.8615885226034279,0.628124585439549,0.9618244324623644,3,2,3,"(0, 3, 4, 11)","(4, 9, 10, 11)","(0, 3, 4, 10)"
154,0.38349845529577165,1.0,0.8698881932719111,0.6385739455484559,0.9568265347229533,3,2,3,"(3, 4, 8, 11)","(0, 1, 3, 8)","(3, 4, 8, 11)"
155,0.43414896989133933,1.0,0.8745002839545979,0.8745002839545979,0.9585811243687118,3,2,3,"(2, 4, 5, 10)","(1, 2, 3, 10)","(2, 4, 5, 10)"
