variant,seed,budget,baseline,optimal_value,value_greedy,mi_value,conditional_mi_value,random_singleton_value,greedy_ratio,mi_ratio,conditional_mi_ratio,random_ratio,optimal_subset,greedy_subset,mi_subset,conditional_mi_subset,joint_milp_seconds
operational-only,0,1,1.2523500793202627,1.27858449317693,1.27858449317693,1.2523500793202627,1.2523500793202627,1.2606425093387477,1.0,0.0,0.0,0.31608977672575517,"(0,)","(0,)","(4,)","(3,)",0.00740688199999795
operational-only,1,1,1.624948641498079,1.6972221913309846,1.6972221913309846,1.624948641498079,1.624948641498079,1.648683323833014,1.0,0.0,0.0,0.32840067202744333,"(1,)","(1,)","(3,)","(3,)",0.007426848999955382
operational-only,2,1,1.8568613866235382,2.0143888226890354,2.0143888226890354,1.8568613866235382,1.8568613866235382,1.9083199878215844,1.0,0.0,0.0,0.3266643734152483,"(1,)","(1,)","(4,)","(3,)",0.007938008000053287
operational-only,3,1,1.6166476480823233,1.670076408265249,1.6700764082652493,1.6166476480823233,1.6166476480823233,1.6341087352337513,1.0000000000000042,0.0,0.0,0.3268106370360447,"(1,)","(1,)","(3,)","(3,)",0.007377456000028815
operational-only,4,1,1.5146599411308435,1.543865498613732,1.543865498613732,1.5146599411308435,1.5146599411308435,1.5238619303207201,1.0,0.0,0.0,0.31507664920514333,"(0,)","(0,)","(3,)","(3,)",0.007470259000001533
operational-only,5,1,1.9124275552351444,2.0215389081309465,2.0215389081309465,1.9124275552351444,1.9124275552351444,1.9486220158557306,1.0,0.0,0.0,0.3317203907750163,"(0,)","(0,)","(3,)","(3,)",0.007464217999995526
operational-only,6,1,1.2183108989618736,1.2482074734927053,1.2482074734927053,1.2183108989618736,1.2183108989618736,1.2282382286802316,1.0,0.0,0.0,0.3320557580307442,"(0,)","(0,)","(5,)","(3,)",0.007145019000006414
operational-only,7,1,1.4745260495909982,1.531002113456093,1.531002113456093,1.4745260495909982,1.4745260495909982,1.4932624320675278,1.0,0.0,0.0,0.33175793768640705,"(1,)","(1,)","(4,)","(3,)",0.007557232000010572
operational-only,8,1,1.5076014395940556,1.5367694543537156,1.5367694543537156,1.5076014395940556,1.5076014395940556,1.5169747672550613,1.0,0.0,0.0,0.3213563808932669,"(0,)","(0,)","(3,)","(3,)",0.0075144620000173745
operational-only,9,1,1.641414191356805,1.677209882526339,1.677209882526339,1.6427773703664716,1.641414191356805,1.6533619217376792,1.0,0.038082209481873575,0.0,0.3337756582010893,"(0,)","(0,)","(4,)","(3,)",0.007329856000012569
operational-only,10,1,1.493413340121465,1.5312201039337832,1.5312201039337832,1.493413340121465,1.493413340121465,1.5058950523398347,1.0,0.0,0.0,0.33014495184861153,"(1,)","(1,)","(4,)","(3,)",0.007953876999977183
operational-only,11,1,1.6865525083328468,1.753094270243457,1.753094270243457,1.6865525083328468,1.6865525083328468,1.7074012221217456,1.0,0.0,0.0,0.31331772995290114,"(1,)","(1,)","(3,)","(3,)",0.007423461000030329
operational-only,12,1,1.7021096077198516,1.7977987218297367,1.7977987218297369,1.7021096077198516,1.7021096077198516,1.7338906684107591,1.0000000000000022,0.0,0.0,0.33212827798166833,"(1,)","(1,)","(5,)","(3,)",0.007933018000017
operational-only,13,1,1.4372762757851691,1.5070584378418241,1.5070584378418241,1.4372762757851691,1.4372762757851691,1.4596630790562337,1.0,0.0,0.0,0.32080982605395764,"(0,)","(0,)","(4,)","(3,)",0.00716161899998724
operational-only,14,1,1.7793366224231295,1.8847915085427123,1.8847915085427123,1.7793366224231295,1.7793366224231295,1.81411694037615,1.0,0.0,0.0,0.3298122944590782,"(1,)","(1,)","(3,)","(3,)",0.007393153999998958
operational-only,15,1,1.818660158549557,1.9395136208532435,1.9395136208532435,1.818660158549557,1.818660158549557,1.858309950566948,1.0,0.0,0.0,0.32808155647007525,"(0,)","(0,)","(3,)","(3,)",0.007688649000044734
