variant,seed,budget,baseline,optimal_value,value_greedy,mi_value,conditional_mi_value,random_singleton_value,greedy_ratio,mi_ratio,conditional_mi_ratio,random_ratio,optimal_subset,greedy_subset,mi_subset,conditional_mi_subset,joint_milp_seconds
operational-only,16,1,1.7902568845329478,1.90362850389292,1.90362850389292,1.7902568845329478,1.7902568845329478,1.826261952795482,1.0,0.0,0.0,0.3175844930662283,"(0,)","(0,)","(3,)","(3,)",0.007970317000001614
operational-only,17,1,1.2077670177534072,1.2276342771728856,1.2276342771728859,1.2077670177534072,1.2077670177534072,1.213906731292173,1.000000000000011,0.0,0.0,0.3090367629038053,"(0,)","(0,)","(5,)","(3,)",0.007369139000047653
operational-only,18,1,1.9517042736496706,2.0148795675725597,2.0148795675725597,1.9517042736496706,1.9517042736496706,1.9710191140330346,1.0,0.0,0.0,0.30573408027099147,"(0,)","(0,)","(3,)","(3,)",0.007380339999997432
operational-only,19,1,1.5602578956440338,1.6034528541007895,1.6034528541007895,1.5602578956440338,1.5602578956440338,1.5745301361260695,1.0,0.0,0.0,0.33041449724565025,"(0,)","(0,)","(3,)","(3,)",0.007892281000010826
operational-only,20,1,1.5907646600488619,1.6625013159305109,1.6625013159305106,1.5907646600488619,1.5907646600488619,1.6130154735425581,0.9999999999999969,0.0,0.0,0.310173553816136,"(1,)","(1,)","(3,)","(3,)",0.007885407999992822
operational-only,21,1,1.6136712613369986,1.7025366430097186,1.7025366430097186,1.6136712613369986,1.6136712613369986,1.6428741845226922,1.0,0.0,0.0,0.3286197913743766,"(0,)","(0,)","(5,)","(3,)",0.00753091299998232
operational-only,22,1,1.778280768517257,1.9211890384437231,1.9211890384437231,1.778280768517257,1.778280768517257,1.8233666792200005,1.0,0.0,0.0,0.31548846491488963,"(1,)","(1,)","(3,)","(3,)",0.007291784000017287
operational-only,23,1,1.435220913993997,1.489968504642403,1.489968504642403,1.435220913993997,1.435220913993997,1.453310654001524,1.0,0.0,0.0,0.33042075081807415,"(1,)","(1,)","(5,)","(3,)",0.007872513999984676
operational-only,24,1,1.2556297045164133,1.2888174379751272,1.2888174379751272,1.2556297045164133,1.2556297045164133,1.2660987114630573,1.0,0.0,0.0,0.315448084445647,"(0,)","(0,)","(5,)","(3,)",0.007228785999984666
operational-only,25,1,1.408434268994944,1.4426748329078087,1.4426748329078087,1.408434268994944,1.408434268994944,1.419411494209096,1.0,0.0,0.0,0.32059125083590423,"(1,)","(1,)","(3,)","(3,)",0.007480697999994845
operational-only,26,1,1.8746100493120854,1.9534286317503757,1.9534286317503757,1.8746100493120854,1.8746100493120854,1.9007350792777162,1.0,0.0,0.0,0.33145774965040725,"(1,)","(1,)","(3,)","(3,)",0.007869027000026563
operational-only,27,1,1.4938055925771765,1.5432559307423692,1.5432559307423692,1.4938055925771765,1.4938055925771765,1.5102005840872283,1.0,0.0,0.0,0.33154457822478595,"(1,)","(1,)","(4,)","(3,)",0.007656268000005184
operational-only,28,1,1.7778454517722289,1.8869643112715773,1.8869643112715773,1.7778454517722289,1.7778454517722289,1.8122041046038573,1.0,0.0,0.0,0.314873643193032,"(0,)","(0,)","(3,)","(3,)",0.007426216999988355
operational-only,29,1,1.540279610246039,1.5857018935611171,1.5857018935611171,1.540279610246039,1.540279610246039,1.5547795669116944,1.0,0.0,0.0,0.3192256224786056,"(0,)","(0,)","(5,)","(3,)",0.007836386000008133
operational-only,30,1,1.4366259997592763,1.4842745986914012,1.4842745986914014,1.4366259997592763,1.4366259997592763,1.452084342061253,1.0000000000000047,0.0,0.0,0.3244238581704581,"(1,)","(1,)","(3,)","(3,)",0.007751727000027131
operational-only,31,1,1.5007352749661338,1.5417669657438011,1.5417669657438011,1.5007352749661338,1.5007352749661338,1.514388397212864,1.0,0.0,0.0,0.3327457871699821,"(1,)","(1,)","(3,)","(3,)",0.007954929000050015
operational-only,32,1,1.1083506018753142,1.132841765469818,1.132841765469818,1.1083506018753142,1.1083506018753142,1.1164019765508186,1.0,0.0,0.0,0.32874610650640124,"(1,)","(1,)","(4,)","(3,)",0.007414685000014742
operational-only,33,1,1.2273600397413136,1.237545477896178,1.2375454778961783,1.2273600397413136,1.2273600397413136,1.2305170478822964,1.0000000000000218,0.0,0.0,0.3099531009841816,"(1,)","(1,)","(3,)","(3,)",0.007932164999999713
operational-only,34,1,1.7712115783548494,1.8427785131795966,1.8427785131795968,1.7712115783548494,1.7712115783548494,1.7947893797734047,1.000000000000003,0.0,0.0,0.3294510443446052,"(1,)","(1,)","(3,)","(3,)",0.007583530999966115
operational-only,35,1,1.8347397028627928,1.9577512063798648,1.9577512063798648,1.8347397028627928,1.8347397028627928,1.8755564452778308,1.0,0.0,0.0,0.33181240167000614,"(1,)","(1,)","(3,)","(3,)",0.0073325100000261045
operational-only,36,1,1.741777940317359,1.8680447779779423,1.8680447779779425,1.741777940317359,1.741777940317359,1.7835973534384344,1.0000000000000018,0.0,0.0,0.33119870502728327,"(1,)","(1,)","(3,)","(3,)",0.007494224000026861
operational-only,37,1,1.545229164216906,1.5908258800251782,1.5908258800251782,1.545229164216906,1.545229164216906,1.559693690559647,1.0,0.0,0.0,0.31722737233011017,"(0,)","(0,)","(3,)","(3,)",0.007984282999984771
operational-only,38,1,1.4042252864822469,1.4551957687140664,1.4551957687140664,1.4042252864822469,1.4042252864822469,1.421008016243122,1.0,0.0,0.0,0.32926370373631886,"(1,)","(1,)","(4,)","(3,)",0.007960037999964698
operational-only,39,1,1.3016618470680956,1.3322495043032152,1.3322495043032152,1.3016618470680956,1.3016618470680956,1.311600545550435,1.0,0.0,0.0,0.32492512930764994,"(1,)","(1,)","(4,)","(3,)",0.007547303999956512
with-nuisance-telemetry,0,1,1.2523500793202627,1.27858449317693,1.27858449317693,1.2523500793202627,1.2523500793202627,1.2585694018341265,1.0,0.0,0.0,0.2370673325443185,"(0,)","(0,)","(5,)","(5,)",0.04469568600001139
with-nuisance-telemetry,1,1,1.6249486414980794,1.6972221913309848,1.697222191330985,1.6249486414980794,1.6249486414980794,1.6427496532492807,1.000000000000003,0.0,0.0,0.2463005040205825,"(1,)","(1,)","(5,)","(5,)",0.04229534199998852
with-nuisance-telemetry,2,1,1.8568613866235386,2.014388822689036,2.014388822689036,1.8568613866235386,1.8568613866235386,1.895455337522073,1.0,0.0,0.0,0.2449982800614348,"(1,)","(1,)","(5,)","(5,)",0.047619983999993565
with-nuisance-telemetry,3,1,1.6166476480823233,1.6700764082652493,1.6700764082652493,1.6166476480823233,1.6166476480823233,1.6297434634458943,1.0,0.0,0.0,0.24510797777703144,"(1,)","(1,)","(5,)","(5,)",0.042086380000000645
with-nuisance-telemetry,4,1,1.5146599411308435,1.543865498613732,1.543865498613732,1.5146599411308435,1.5146599411308435,1.521561433023251,1.0,0.0,0.0,0.2363074869038575,"(0,)","(0,)","(5,)","(5,)",0.043111662999990585
with-nuisance-telemetry,5,1,1.9124275552351442,2.021538908130946,2.021538908130946,1.9124275552351442,1.9124275552351442,1.939573400700584,1.0,0.0,0.0,0.24879029308126477,"(0,)","(0,)","(5,)","(5,)",0.044607150999979694
with-nuisance-telemetry,6,1,1.2183108989618736,1.2482074734927053,1.2482074734927053,1.2183108989618736,1.2183108989618736,1.2257563962506421,1.0,0.0,0.0,0.24904181852306004,"(0,)","(0,)","(5,)","(5,)",0.042213938999964284
with-nuisance-telemetry,7,1,1.4745260495909982,1.5310021134560927,1.531002113456093,1.4745260495909982,1.4745260495909982,1.4885783364483953,1.000000000000004,0.0,0.0,0.24881845326480428,"(1,)","(1,)","(5,)","(5,)",0.04527370199997449
with-nuisance-telemetry,8,1,1.5076014395940553,1.5367694543537154,1.5367694543537154,1.5076014395940553,1.5076014395940553,1.5146314353398096,1.0,0.0,0.0,0.2410172856699483,"(0,)","(0,)","(5,)","(5,)",0.0444498420000059
with-nuisance-telemetry,9,1,1.6414141913568046,1.6772098825263388,1.6772098825263388,1.6414141913568046,1.6414141913568046,1.65037498914246,1.0,0.0,0.0,0.25033174365080924,"(0,)","(0,)","(5,)","(5,)",0.04220393600002126
with-nuisance-telemetry,10,1,1.493413340121465,1.531220103933783,1.5312201039337832,1.493413340121465,1.493413340121465,1.5027746242852422,1.0000000000000058,0.0,0.0,0.24760871388645866,"(1,)","(1,)","(5,)","(5,)",0.043609885000023496
with-nuisance-telemetry,11,1,1.686552508332847,1.7530942702434578,1.7530942702434575,1.686552508332847,1.686552508332847,1.702189043674521,0.9999999999999967,0.0,0.0,0.23498829746467345,"(1,)","(1,)","(5,)","(5,)",0.0434855209999796
with-nuisance-telemetry,12,1,1.7021096077198519,1.7977987218297369,1.7977987218297373,1.7021096077198519,1.7021096077198519,1.7259454032380326,1.0000000000000047,0.0,0.0,0.2490962084862524,"(1,)","(1,)","(5,)","(5,)",0.04664359800000284
with-nuisance-telemetry,13,1,1.4372762757851691,1.5070584378418241,1.5070584378418241,1.4372762757851691,1.4372762757851691,1.4540663782384675,1.0,0.0,0.0,0.2406073695404674,"(0,)","(0,)","(5,)","(5,)",0.04149049800003013
with-nuisance-telemetry,14,1,1.77933662242313,1.8847915085427127,1.8847915085427127,1.77933662242313,1.77933662242313,1.8054218608878954,1.0,0.0,0.0,0.24735922084430972,"(1,)","(1,)","(5,)","(5,)",0.04563590699996212
with-nuisance-telemetry,15,1,1.818660158549557,1.9395136208532435,1.9395136208532435,1.818660158549557,1.818660158549557,1.8483975025626003,1.0,0.0,0.0,0.24606116735255645,"(0,)","(0,)","(5,)","(5,)",0.0436042549999911
with-nuisance-telemetry,16,1,1.7902568845329478,1.90362850389292,1.90362850389292,1.7902568845329478,1.7902568845329478,1.8172606857298486,1.0,0.0,0.0,0.23818836979967223,"(0,)","(0,)","(5,)","(5,)",0.042109700000025896
with-nuisance-telemetry,17,1,1.2077670177534072,1.2276342771728856,1.2276342771728859,1.2077670177534072,1.2077670177534072,1.2123718029074815,1.000000000000011,0.0,0.0,0.23177757217785117,"(0,)","(0,)","(5,)","(5,)",0.04453088299999308
with-nuisance-telemetry,18,1,1.9517042736496701,2.014879567572559,2.0148795675725593,1.9517042736496701,1.9517042736496701,1.9661904039371931,1.000000000000007,0.0,0.0,0.22930056020324435,"(0,)","(0,)","(5,)","(5,)",0.04110875200001374
with-nuisance-telemetry,19,1,1.5602578956440336,1.603452854100789,1.603452854100789,1.5602578956440336,1.5602578956440336,1.5709620760055603,1.0,0.0,0.0,0.24781087293423637,"(0,)","(0,)","(5,)","(5,)",0.04476979100002154
with-nuisance-telemetry,20,1,1.5907646600488616,1.6625013159305106,1.6625013159305104,1.5907646600488616,1.5907646600488616,1.6074527701691341,0.9999999999999969,0.0,0.0,0.23263016536210585,"(1,)","(1,)","(5,)","(5,)",0.04237995700003694
with-nuisance-telemetry,21,1,1.6136712613369988,1.702536643009719,1.702536643009719,1.6136712613369988,1.6136712613369988,1.635573453726269,1.0,0.0,0.0,0.2464648435307812,"(0,)","(0,)","(5,)","(5,)",0.044200874000011936
with-nuisance-telemetry,22,1,1.7782807685172566,1.9211890384437227,1.9211890384437227,1.7782807685172566,1.7782807685172566,1.812095201544314,1.0,0.0,0.0,0.2366163486861653,"(1,)","(1,)","(5,)","(5,)",0.044105874999956995
with-nuisance-telemetry,23,1,1.4352209139939964,1.4899685046424023,1.4899685046424023,1.4352209139939964,1.4352209139939964,1.4487882189996415,1.0,0.0,0.0,0.2478155631135546,"(1,)","(1,)","(5,)","(5,)",0.04579054700002416
with-nuisance-telemetry,24,1,1.2556297045164135,1.2888174379751276,1.2888174379751276,1.2556297045164135,1.2556297045164135,1.2634814597263966,1.0,0.0,0.0,0.23658606333423535,"(0,)","(0,)","(5,)","(5,)",0.04231279399999721
with-nuisance-telemetry,25,1,1.4084342689949445,1.442674832907809,1.4426748329078092,1.4084342689949445,1.4084342689949445,1.4166671879055586,1.0000000000000064,0.0,0.0,0.24044343812693134,"(1,)","(1,)","(5,)","(5,)",0.04492263899999216
with-nuisance-telemetry,26,1,1.8746100493120854,1.9534286317503755,1.9534286317503757,1.8746100493120854,1.8746100493120854,1.8942038217863084,1.0000000000000029,0.0,0.0,0.24859331223780473,"(1,)","(1,)","(5,)","(5,)",0.04293337500001826
with-nuisance-telemetry,27,1,1.4938055925771765,1.5432559307423692,1.5432559307423692,1.4938055925771765,1.4938055925771765,1.5061018362097154,1.0,0.0,0.0,0.24865843366858947,"(1,)","(1,)","(5,)","(5,)",0.042189790000009
with-nuisance-telemetry,28,1,1.7778454517722293,1.8869643112715777,1.8869643112715777,1.7778454517722293,1.7778454517722293,1.8036144413959505,1.0,0.0,0.0,0.23615523239477298,"(0,)","(0,)","(5,)","(5,)",0.043953138999995645
with-nuisance-telemetry,29,1,1.5402796102460385,1.585701893561117,1.585701893561117,1.5402796102460385,1.5402796102460385,1.5511545777452802,1.0,0.0,0.0,0.23941921685895548,"(0,)","(0,)","(5,)","(5,)",0.04197821300004989
with-nuisance-telemetry,30,1,1.436625999759276,1.4842745986914012,1.484274598691401,1.436625999759276,1.436625999759276,1.4482197564857584,0.9999999999999953,0.0,0.0,0.24331789362783776,"(1,)","(1,)","(5,)","(5,)",0.0439449940000145
with-nuisance-telemetry,31,1,1.500735274966134,1.5417669657438016,1.5417669657438016,1.500735274966134,1.500735274966134,1.5109751166511818,1.0,0.0,0.0,0.24955934037748792,"(1,)","(1,)","(5,)","(5,)",0.045330068999987816
with-nuisance-telemetry,32,1,1.1083506018753146,1.1328417654698184,1.1328417654698184,1.1083506018753146,1.1083506018753146,1.114389132881943,1.0,0.0,0.0,0.24655957987980545,"(1,)","(1,)","(5,)","(5,)",0.04186929500002634
with-nuisance-telemetry,33,1,1.227360039741314,1.2375454778961783,1.2375454778961785,1.227360039741314,1.227360039741314,1.2297277958470514,1.0000000000000218,0.0,0.0,0.23246482573816307,"(1,)","(1,)","(5,)","(5,)",0.04407053300002417
with-nuisance-telemetry,34,1,1.7712115783548492,1.842778513179597,1.8427785131795964,1.7712115783548492,1.7712115783548492,1.7888949294187655,0.9999999999999907,0.0,0.0,0.24708828325844928,"(1,)","(1,)","(5,)","(5,)",0.04303510199997618
with-nuisance-telemetry,35,1,1.8347397028627932,1.9577512063798652,1.9577512063798652,1.8347397028627932,1.8347397028627932,1.8653522596740717,1.0,0.0,0.0,0.24885930125250416,"(1,)","(1,)","(5,)","(5,)",0.04499053800003594
with-nuisance-telemetry,36,1,1.741777940317359,1.8680447779779423,1.8680447779779425,1.741777940317359,1.741777940317359,1.7731425001581655,1.0000000000000018,0.0,0.0,0.24839902877046244,"(1,)","(1,)","(5,)","(5,)",0.041933075000031295
with-nuisance-telemetry,37,1,1.545229164216906,1.5908258800251782,1.5908258800251782,1.545229164216906,1.545229164216906,1.5560775589739617,1.0,0.0,0.0,0.23792052924758142,"(0,)","(0,)","(5,)","(5,)",0.04092855200002532
with-nuisance-telemetry,38,1,1.4042252864822466,1.455195768714066,1.455195768714066,1.4042252864822466,1.4042252864822466,1.4168123338029028,1.0,0.0,0.0,0.24694777780223698,"(1,)","(1,)","(5,)","(5,)",0.04183307800002467
with-nuisance-telemetry,39,1,1.3016618470680956,1.3322495043032152,1.3322495043032152,1.3016618470680956,1.3016618470680956,1.3091158709298498,1.0,0.0,0.0,0.24369384698072835,"(1,)","(1,)","(5,)","(5,)",0.04212241999999833
