features,repeat,joint_seconds,enumeration_seconds,enumerated_subsets
6,0,0.010185657999983277,0.00018503600000485676,42
6,1,0.010069283999996514,0.0001771740000151567,42
6,2,0.01373807099997748,0.0001761130000090816,42
8,0,0.010055824000005487,0.0006338039999889133,163
8,1,0.009485253999997667,0.0006180609999830722,163
8,2,0.009798821000003954,0.0006439290000059827,163
10,0,0.010173379000008254,0.0025506709999945087,638
10,1,0.012485292999997455,0.002420937000010781,638
10,2,0.006868093999997882,0.0024002670000129456,638
12,0,0.010443452000004072,0.009801866000003656,2510
12,1,0.010189912999976514,0.009604440999993358,2510
12,2,0.012538642999999183,0.00963547800000697,2510
14,0,0.010182531999987532,0.03784981800001219,9908
14,1,0.010779611999993222,0.03791144999999574,9908
14,2,0.010583451000002242,0.03730052000000228,9908
16,0,0.012829076000002715,0.1549124089999907,39203
16,1,0.012174340999990818,0.15440045700000837,39203
16,2,0.012697370000012143,0.15208049900002152,39203
18,0,0.007571171999984472,0.6135118819999832,155382
18,1,0.00747082199998772,0.6145975999999962,155382
18,2,0.011091998000011927,0.603778788999989,155382
