target_probability,baseline,mi_value,optimal_value,mi_gain_ratio
0.02,0.98,0.98,1.0,0.0
0.039999999999999994,0.96,0.96,1.0,0.0
0.06,0.94,0.94,1.0,0.0
0.07999999999999999,0.92,0.92,1.0,0.0
0.09999999999999999,0.9,0.9,1.0,0.0
0.11999999999999998,0.8800000000000001,0.8800000000000001,1.0,0.0
0.13999999999999999,0.8600000000000001,0.8600000000000001,1.0,0.0
0.15999999999999998,0.8400000000000001,0.8400000000000001,1.0,0.0
0.17999999999999997,0.8200000000000001,0.8200000000000001,1.0,0.0
0.19999999999999996,0.8,0.8,1.0,0.0
0.21999999999999995,0.78,0.78,1.0,0.0
0.23999999999999996,0.76,0.76,1.0,0.0
0.25999999999999995,0.74,0.74,1.0,0.0
0.27999999999999997,0.72,0.72,1.0,0.0
0.3,0.7,0.7,1.0,0.0
0.31999999999999995,0.68,0.68,1.0,0.0
0.33999999999999997,0.66,0.66,1.0,0.0
0.36,0.64,0.64,1.0,0.0
0.37999999999999995,0.6200000000000001,0.6200000000000001,1.0,0.0
0.39999999999999997,0.6000000000000001,0.6000000000000001,1.0,0.0
0.41999999999999993,0.5800000000000001,0.5800000000000001,1.0,0.0
0.43999999999999995,0.56,0.56,1.0,0.0
0.45999999999999996,0.54,0.54,1.0,0.0
0.48,0.52,0.52,1.0,0.0
