seed,baseline,optimal_gain,greedy_gain,singleton_gain,random_gain,greedy_ratio,singleton_ratio,random_ratio
0,0.5761145683444046,0.3985598469260615,0.3985598469260615,0.3985598469260615,0.240680316523031,1.0,1.0,0.6038749723016644
1,0.5627326598675291,0.41952098335426247,0.41952098335426247,0.41952098335426247,0.2853434756907872,1.0,1.0,0.6801649667421529
2,0.5813656340405311,0.36912382354352913,0.36912382354352913,0.2849104993280033,0.29946518013209783,1.0,0.7718561662937614,0.8112865142576831
3,0.5802876988399641,0.4010694365310503,0.39926807907809914,0.40095770259542596,0.2476667413750346,0.995508614496952,0.9997214099967557,0.6175158683672486
4,0.6554446043405153,0.3403157564678826,0.3403157564678826,0.3250619219687395,0.30721748978023083,1.0,0.9551774074246172,0.9027424794221204
5,0.5866124707721121,0.3881282457075239,0.3881282457075239,0.37659766605808276,0.2503622737874489,1.0,0.9702918306591629,0.6450503836201366
6,0.6151244488305725,0.37575899356544196,0.37088498528497227,0.37088498528497227,0.3052875579925479,0.9870288978735493,0.9870288978735493,0.8124557581331163
7,0.5788400589084548,0.3652048133507806,0.36459062770888595,0.3602338748276157,0.2629545128072921,0.9983182432995353,0.9863886281301821,0.7200192965548986
8,0.5459537393213595,0.43160697211959986,0.41587119095038017,0.37004181659001667,0.3297372042838607,0.9635414110853167,0.8573582923666876,0.7639756203764227
9,0.5470711707614793,0.42559527109507866,0.42559527109507866,0.3720143516678932,0.32973190459898494,1.0,0.8741035836950938,0.7747546248588892
10,0.6329175101697078,0.3605570485946701,0.3605570485946701,0.35378527695507944,0.3327442905511502,1.0,0.9812185847815631,0.9228616992735972
11,0.5503958112778796,0.4265850039987201,0.42492736102879647,0.41371468976200765,0.3194162152565208,0.9961141555507455,0.969829426454121,0.7487750677177558
12,0.6032768493369266,0.3868020085270558,0.3868020085270558,0.37831108858535367,0.30726254161390687,1.0,0.9780484078300534,0.7943664583955091
13,0.6355347435416063,0.3552950400511833,0.3552950400511833,0.3517678355419668,0.2762636671850325,1.0,0.9900724634132005,0.7775612829980242
14,0.579614098923835,0.4012065685199451,0.4012065685199451,0.39913380794206865,0.2913652432079668,1.0,0.9948336823459225,0.7262225149573598
15,0.6084009769855199,0.38553198263317046,0.3841190170775908,0.32974623748337095,0.33775645089890877,0.9963350237613773,0.8553019005873786,0.8760789405642655
16,0.6593929112155927,0.313364832716285,0.313364832716285,0.3116548042339654,0.2586635007520148,1.0,0.9945430108812885,0.8254388295900585
17,0.6100048441980404,0.37943547094145,0.37609515587554787,0.3539085117590359,0.3235403045768065,0.9911966188674606,0.9327238459834106,0.8526886107248823
18,0.6354251953456381,0.3511804696719114,0.3511804696719114,0.34532730183738924,0.2494567284882269,1.0,0.9833328777081753,0.7103377039198124
19,0.6247111452405376,0.3706476051843315,0.3706476051843315,0.3706476051843315,0.33428363374441966,1.0,1.0,0.901890715247365
20,0.5885630630634682,0.40250231659261226,0.40250231659261226,0.40250231659261226,0.3493252183970962,1.0,1.0,0.8678837462460157
21,0.5758040142873535,0.41428451883021444,0.41428451883021444,0.4107675526921656,0.32824920091667326,1.0,0.9915107468944785,0.7923279437125168
22,0.5511514099537602,0.3507628487000456,0.3458410282719421,0.3458410282719421,0.2280632557250004,0.9859682390927541,0.9859682390927541,0.650192164222125
23,0.5457985159941391,0.43159836230678905,0.43159836230678905,0.41545135944317757,0.3073867284478672,1.0,0.962587895891658,0.7122055023678944
24,0.6200016599448858,0.3589462619131023,0.35873943616018666,0.3424815817117459,0.2826346425849823,0.9994237974458535,0.9541305149311115,0.7874009916654477
25,0.5632726750478031,0.41173732995369394,0.41173732995369394,0.2756604882875431,0.26313602251961643,1.0,0.6695056975245486,0.639087115441318
26,0.5488475545594637,0.44200927218129227,0.44200927218129227,0.43348982231822153,0.31109946831519714,1.0,0.9807256308877239,0.7038301861405255
27,0.6253415949085482,0.343997243627961,0.34216904616103927,0.34216904616103927,0.20857845240076614,0.9946854298957727,0.9946854298957727,0.6063375688740906
28,0.5724362807888626,0.41630473462498885,0.41630473462498885,0.37575458967461106,0.32678040826195726,1.0,0.9025950425788317,0.7849548205506817
29,0.6111110458363723,0.3525765477345686,0.3525765477345686,0.3419815069999427,0.2680298747582253,1.0,0.9699496724818969,0.7602033557830601
30,0.613520369162833,0.3355017390154268,0.3355017390154268,0.3355017390154268,0.17823079630411826,1.0,1.0,0.5312365796587509
31,0.647882954649675,0.33956206857097904,0.33956206857097904,0.3348929027767089,0.23667399611394682,1.0,0.9862494482557491,0.696997745095532
32,0.5586393607533908,0.4180055506214254,0.4180055506214254,0.41524546330065637,0.3521103895644566,1.0,0.9933970079663637,0.8423581673520695
33,0.5124051796628486,0.4427746889367038,0.43651325367088767,0.416357987410377,0.30771594448504824,0.9858586422795472,0.9403382754561583,0.6949718495065949
34,0.6582055586342068,0.33723677281173303,0.33723677281173303,0.32974807563467035,0.3168205249387916,1.0,0.9777939484041873,0.9394601967551769
35,0.5014525737101617,0.48450370616618355,0.479590909408102,0.4601193345989204,0.40813382949244337,0.989860146175236,0.949671444703254,0.8423750413014478
36,0.5688794088230561,0.41298919045982474,0.41298919045982474,0.3910513389791732,0.35725482806307773,1.0,0.946880325230242,0.8650464378142876
37,0.5587145435517125,0.42932371416854953,0.42932371416854953,0.4186359250694287,0.3712415790260654,1.0,0.9751055235329374,0.864712492635146
